Tenant,Betweenness
FITNESS FIRST,0.00091932497808212
PRIMA DIAMOND,0.0009189511450715389
YAKINIKU LIKE,0.0009101273933304195
WONDER PHOTO SHOP,0.0009076478953595175
GIORGIO ARMANI,0.00090719759037597
DIOR,0.0009015847912398845
CALVIN KLEIN,0.000900493329337479
DUCATI,0.0008996741737727002
ROBINSON DEPARTMENT STORE,0.0008992494425238057
MATSUMOTO KIYOSHI,0.0008984542667397319
CENTRAL FOOD HALL,0.0008940995239521487
IROHA RAMEN,0.0008892398568603174
MARIMEKKO,0.0008884190427817214
REV RUNNR,0.0008795692864180807
NIYOM JEANS,0.0008795504535110179
MARKS & SPENCER,0.0008777455207887515
PUMA,0.0008763236567309604
MAJOR CINEPLEX,0.0008649832056708508
MANGO,0.0008617265146253579
KUB KAO KUB PLA,0.0008568504991307591
COWAY,0.000852864011415205
LAO YUAN,0.0008421500436186941
OOFOS,0.0008365094812358802
BONJOUR,0.0008340898789484867
KAREN,0.0008312426179972054
ASIA BOOKS,0.00082084549131936
BEBE PHONE,0.0008191135049666106
DIAMOND FOR YOU,0.0008190714856180473
KIEHL'S,0.0008176586099784348
G-SHOCK,0.0008096749040019707
UOB,0.0008066342857529128
THAILAND POST OFFICE,0.0008034338818452239
DAKS,0.000802314724089999
MAC,0.0008017852258842051
I CAN READ,0.0007997723542993725
SUBWAY,0.0007964240988117814
BEAUTY BUFFET,0.0007951335316144113
TISSOT,0.0007893254015602876
TOMS,0.0007893254015602876
HEAVY,0.0007878387929615578
HOMEBOY,0.000787294894127067
NESPRESSO,0.0007857203043388128
BURBERRY,0.0007857203043388128
GENTLEWOMAN,0.0007675535477837394
QQ DESSERT,0.0007632683167901595
I CARE,0.0007626568527051764
KAGONOYA,0.0007398689336481269
YUGEN,0.0007363885793908444
MISTY MYNX,0.000731903170195593
WAGASHI,0.0007216342871099097
KAWAI MUSIC SCHOOL,0.0007159478505653642
MAKALIN CLINIC,0.0007129612058556769
PROCLEAN,0.0007092810758013889
SAINT ETOILE BY YAMAZAKI,0.0007078724188838614
MR. SHAKE,0.0007076308639275371
MOS BURGER,0.000705505697297857
DIESEL,0.000701600338267824
TORY BURCH,0.000701600338267824
HONAJI RAMEN,0.0006909441640280209
ARROW,0.0006852103712754227
BEARHOUSE,0.0006811334714148699
SIAM LASER CLINIC,0.0006781163286882998
THE ALLEY,0.000672157989405641
WALL STREET ENGLISH,0.0006717374851975555
SEIKO,0.0006692379210201353
SUPER RICH THAILAND,0.0006629958930817227
SLC CLINIC,0.0006625655883510962
TPARTNER,0.0006580817972496218
I STUDIO,0.000657959089524293
LONGINES,0.000651355931124102
GUCCI,0.0006500532192618537
RADO,0.0006500532192618537
COLUMBIA,0.0006486235233920205
JAYMART,0.0006372934810588512
AIS SERENADE,0.0006343700662617261
YENLY YOURS,0.0006292522036491225
SF CINEMA,0.0006176444705281484
HIGH SCHOOL,0.0006150625252165341
PIZZA HUT,0.0006123786734687589
JACOB,0.0006098343538278942
EARW THAI SUKI BORAN,0.0006029993137672999
ADORE,0.0006021956823398081
NAUTICA,0.0006012965769521935
ADIDAS NEO CREDIT,0.0006012965769521935
DANIEL WELLINGTON,0.0006012965769521935
LITTLE REDFOX,0.0005961623029869231
LUCKY,0.0005916367764083659
MEZZO COFFEE,0.0005904412990591432
SUKISHI KOREAN CHARCOAL GRILL,0.000582785637337132
DEFRY 01,0.0005705252590880083
WAKINGBEE,0.0005705252590880083
JOURNAL,0.0005693842085698322
GUESS ACCESSORIES,0.0005509588475045835
CHALACHOL,0.0005492345336612399
PHATARAMANEE,0.0005359006407668213
CHER CLINIC,0.0005344366911420166
M LIFE,0.0005343523305795329
SLIM UP CENTER,0.0005341100007343652
BP WORLD,0.0005321278966393188
CHANEL,0.0005266919004739639
DICKIES,0.0005235601753342989
FRED PERRY,0.0005184262463047869
GNC,0.0005159773487649305
LUXOPTIC,0.0005066993199572784
BAOJI,0.0005053085392307982
MAKOTO,0.0005026409773341309
E-QUIP,0.0004965133445077095
TOPS DAILY,0.0004961328446367921
JOOM ZAP HUT/BAR B Q,0.0004950728057369057
BB BEYOND D-BOX,0.0004913371055181116
LEMONY,0.00048193528833914137
YOGURUTO,0.00048072418163819784
PRONTO,0.00047888465919555345
ERIC KAYSER,0.0004733482040320583
SSAMTHING TOGETHER,0.00046970766934765075
COFFEE WORLD,0.00046798063401208356
MICHAEL KORS,0.0004670347398458492
NINETIES DESIGN,0.00045918717930226505
YAOWARAJ KRUNGTHEP,0.0004591722605150404
DAVIE JONES,0.0004555751327114744
THE BODY SHOP,0.00045389223738061604
HAI DI LAO,0.00045365033649154984
CSC,0.0004510195017728876
AES CLASS CLINIC,0.0004486780960181576
KOFUKU,0.0004472918886498882
TENJO,0.000446030133782544
425 DEGREE,0.0004449229202205155
NYLA,0.00043981434889663295
TAG HEUER,0.0004386630673893978
INLINGUA,0.00042640067867017703
NOO YOO,0.0004241263962169258
MIDO,0.0004240735726194483
TELEWIZ,0.000423447491953268
SHANE ENGLISH SCHOOL,0.0004219788187476782
YODCHA,0.0004215767121780393
ROYAL IVY REGATTA,0.00042073190618128515
ROSE JEWELRY STUDIO,0.00041978354670924327
SUPER RICH,0.00041799898426459343
HARNN,0.000416655860205513
DR. PONG,0.0004126702228654349
LOOKER,0.00041205909895495143
BABIES GENIUS,0.0004080886169442185
FOSSIL,0.000402206441183058
BEN'S COOKIES,0.0003987247136908196
PROMISE,0.0003967975384740708
TAYWIN,0.00039644073541755543
JOYLIDAY PLUS,0.00039463446528783245
CC DOUBLE O,0.000392092152050246
REGENT DIAMOND,0.0003900291830122924
AMAXS,0.00038979136825910914
PET 'N ME,0.00038679497992312955
CHONGDEE TEAHOUSE,0.00038364755839099147
AVOCADO,0.0003817231203640738
SABOTEN,0.00038165313979007456
EAT AM ARE,0.0003809111525020151
SOURI,0.00038014933019701105
OUTDOOR BOTANICA BY ELEMENT 72,0.0003775351458568581
DOLCE GELATINO,0.00037714722200184924
VICTORINOX,0.0003767800755651443
KEEN,0.0003767800755651443
EP,0.0003756789041208554
KHUNPOOM,0.0003754262746749775
SUSHI PLUS,0.0003745784483728469
WATTS,0.00037297360830564866
JUBILEE DIAMOND,0.0003698688777029025
JIM THOMPSON,0.00036607095480085434
HANGTHONG WHANG TOH KANG YAOWARAJ,0.00036084866742041975
ALBEDO,0.0003595331857996848
DJI,0.0003587859977505738
SUSHI HIRO,0.0003546504633325125
PULL & BEAR,0.00035463094192629487
ERGOTREND,0.00035394116240584743
BAAN YING CAFE & MEAL,0.0003539216800424422
ARI FOOTBALL CONCEPT STORE,0.00035340729031697004
KIDZOOONA,0.00035333840169079746
NAI IN,0.0003487203967411302
NAIL CLUB,0.0003459090723253887
MERIDA CLINIC,0.0003449016382197545
ANANTA,0.00034161234909205185
SUKIYA,0.00034105138765811236
INFINITY MEDICAL CLINIC,0.00034062113958095236
MAESRIRUEN,0.0003396395686705217
ARI FOOTBALL,0.00033800616455936355
MR.JOLLY YOGURT,0.0003365523419172257
BANDAI,0.0003320757451634081
ZOOM CAMERA,0.00033191436383272707
O&B,0.00033144964054595795
CARNIVAL,0.00033144964054595795
SOMTAM NUA,0.00033144964054595795
MELODY KARAOKE,0.0003314216630229836
THE ADJECTIVE,0.000330786741264866
CAMPER,0.000330786741264866
SWATCH,0.000330786741264866
GUSS DAMN GOOD,0.000330786741264866
CURLY CUT,0.00032715325801663296
BOTANIFIQUE,0.0003210699124842123
ELEMENTS,0.0003201685999283258
AMERICAN EAGLE OUTFITTERS,0.00031807246764200436
STRACK YUM,0.00031697514039554127
TIMBERLAND,0.00031656182575010933
PIERRE CARDIN,0.0003159287020986091
FERRAGAMO,0.0003159287020986091
BOSSINI,0.0003159287020986091
OSIM,0.0003137469051665161
FUJI,0.00031366520506117445
VOCALIZE,0.00031188478492814235
CHOI'S TAEKWONDO,0.00031188478492814235
KARUN THAI TEA,0.00031056675300977066
YOUR FACE,0.00031004883342293776
PANG SIAM,0.00030942873575609184
WATCH STATION,0.00030801389786642937
PET LOVER CENTRE,0.00030440276712091795
LESPORTSAC,0.0003020060076503924
