Tenant,Community,Corporate,Degree
KITCHENAID,0,,3
LAB LIBRARY,0,,3
MAGIC MIXIES HASBRO KIDDO,0,,4
MARITHE FRANCOIS GIRBAUD,0,,4
MERREZCA,0,,4
NEWRAY,0,,4
PEPPA PIG HASBRO KIDDO,0,,3
SEEK 'N KEEP CLUB,0,,3
TAG HEUER,0,,3
TAW&TOE,0,,3
TIFFANY&CO,0,,4
TRANSFORMERS HASBRO KIDDO,0,,5
YOUNG TOYS,0,,4
BEYBLADE,0,,14
DUNLOP,0,,13
CHAANG OCARINA&POTERY,0,,4
TM TOYS MART,0,,5
ANTA,0,,9
ATTITUDE MOM,0,,8
BABY FANTASY,0,,10
BALLARINI,0,,7
BERGHOFF,0,,9
BUTTERFLY THAI PERFUME,0,,6
CANTEEN,0,,5
CAROLINA HERRERA,0,,8
CHAMPION,0,,10
CHONGDEE TEAHOUSE,0,,9
CLAUDIA KLEID,0,,12
DANIEL HECHTER,0,,5
DISNEY,0,,10
DISNEY TOYS,0,,4
DUCATI,0,,6
EASY BUDDY,0,,6
ELAVA,0,,4
EUCERIN,0,,4
EXPERT WATCH,0,,5
FIFTH AVENUE,0,,4
FREDERIQUE CONSTANT,0,,6
HOM,0,,8
IPPUDO,0,,7
JIAN CHA,0,,8
Junenycandy,0,,9
KARUN THAI TEA,0,,6
KIDS STEP,0,,6
LILY ROSE,0,,6
LOJEL,0,,10
LT FISH RESTAURANT,0,,4
LUNA,0,,7
MAMA TALES,0,,4
MERGE,0,,6
MILAROSE,0,,5
MIMOSA,0,,8
MISTY MYNX,0,,7
MOS BURGER,0,,7
MOSCHINO,0,,5
MOSHI AVA,0,,9
NITORI,0,,4
NYLA,0,,6
OASIS,0,,5
ORIGINS,0,,9
PANPURI,0,,6
PAUL FRANK,0,,9
PEPPA PIG,0,,7
POP MART,0,,6
REMINGTON,0,,7
RITUALS,0,,7
SAEMAEUL,0,,10
SANTA BARBARA,0,,7
SEPHORA,0,,6
SIAM LASER CLINIC,0,,4
SLIP TO SLEEP,0,,6
SMILEYHOUND,0,,8
SOLSOT,0,,7
SPAGHETTI FACTORY,0,,6
SPORT FLEX BIBI,0,,5
TAKARA TOMY,0,,5
TENJO,0,,4
TEVA,0,,6
TOMMY HILFIGER,0,,9
TONKATSU WAKO,0,,6
TORY BURCH,0,,10
VOLCOM,0,,5
YAKINIKU LIKE,0,,8
YOU&I SUKI,0,,4
YUGEN,0,,6
คำพูน,0,,8
ล่าเมียว,0,,5
BEANS Coffee Roaster,0,,6
ERGOTREND,0,,7
GIAN FERRENTE,0,,9
KYO ROLL EN,0,,6
LENS & TIME,0,,5
SARAMANDA,0,,5
STACCATO,0,,7
BATH&BLOOM,0,,6
KIKI MATCHA,0,,5
ONITSUKA TIGER,0,,5
THE ROLLING PINN,0,,6
THONG SMITH,0,,5
APPLE MONKEY,0,,3
BATMAN AND DC,0,,5
BIALETTI VOGUE,0,,4
BIBS,0,,4
CENTRAL LOVE THE EARTH,0,,4
COCORO HANAKO,0,,3
DIESEL,0,,5
DNO BLOCKS,0,,5
DONNA CHANG,0,,6
ECLIPSE,0,,3
FISHER PRICE,0,,4
GUND KIDDO,0,,7
IWAKI,0,,3
JIMMY CHOO,0,,6
MCM,0,,6
MEGA BLOCKS WD,0,,3
PENGUIN,0,,6
PRADA,0,,4
SCOOT AND RIDE,0,,6
SESAME STREET,0,,5
SHAPER,0,,4
SKINY,0,,5
SOFT,0,,4
SUPER SOSO,0,,4
TANITA,0,,7
TIME MORE,0,,5
TOVOLO,0,,3
TWIN FISH,0,,6
VIKTOR&ROLF,0,,4
ALDO,0,,5
AVEDA,0,,5
BLING20,0,,3
CARLO BASANO,0,,5
CAROLINA LEMKE,0,,5
CHANGTHAI,0,,3
COCCINELLE,0,,5
DE PRECO,0,,4
ELEPHANT PARADE,0,,3
HAMILTON,0,,5
LE PETIT PUMM,0,,4
LITTAL LADY,0,,3
LUXE SWIMSUIT,0,,5
MICRO,0,,3
NAMON,0,,3
NITID,0,,5
PAHKAHMAH,0,,4
PLAYGRO,0,,5
POLO RALPH LAUREN,0,,5
PRETTY G,0,,5
SAFARI,0,,5
TAACTIVE,0,,5
TANWA,0,,3
THAI TIME,0,,3
THULE,0,,5
VALENTINO,0,,3
WAKINGBEE,0,,4
ZODIA,0,,3
AETREX,0,,3
AKKARA BANGKOK,0,,5
ANANTA,0,,4
ANGELINO RUFOLO,0,,5
ART TOYS KOMBINERY,0,,3
AUGUSTINUS BADER,0,,3
Aura Bangkok Clinic,0,,3
BABY BJORN,0,,3
BEME,0,,4
BHC CHICKEN,0,,4
Better Vision x TRSC,0,,4
CARNIVAL,0,,3
CASE CLUB,0,,3
CATERPILLAR,0,,3
CBG DEVICES,0,,3
CERES,0,,3
CHICHA San Chen,0,,3
CLOUDY,0,,5
CRAYON CHINCHAN,0,,3
CRAZY STEP,0,,5
CREATE ION,0,,4
CRITICAL SLIDE,0,,3
DANDY COSMO,0,,4
DHL EXPRESS,0,,3
ERB,0,,6
ESSE,0,,5
FLAT2112,0,,4
FUKU MATCHA CROSS 2,0,,5
GUERLAIN,0,,3
GUSS DAMN GOOD,0,,4
HOLSTER,0,,5
HOURGLASS,0,,5
IPSA,0,,3
JENIM,0,,4
JESSUP BEAUTY,0,,4
JOOLZ,0,,4
JUNG SAEM MOOL,0,,5
JUST IN CASE,0,,3
KIKO MILANO,0,,4
KISS ME DOLL,0,,3
KLIN,0,,6
KOBE STEAK HOUSE,0,,4
Kinujo,0,,4
LAMY,0,,4
LEGO CERTIFIED STORE,0,,4
LELE JUICE BAR,0,,4
MA CHANDELLE,0,,3
MAMAS PAPAS,0,,4
MAURICE LACROIX,0,,4
ME PHENOMENON,0,,3
MELISSA,0,,3
MILLE,0,,5
MONGKON GOLD JEWELRY,0,,3
MOODS,0,,3
MRMEN LITTLE MISS,0,,4
OAKBERRY,0,,3
PANG CHA BY LUKKAITHONG,0,,3
PASTA AMA,0,,4
PETKIT,0,,4
PIUMINO,0,,4
POKEMON TOYS KC,0,,4
PURLI,0,,4
PYNPY,0,,4
RAINBOW JEWELRY,0,,4
REBECCA LIMS,0,,3
ROBOROCK,0,,4
SALOMON,0,,5
SAMO ONDOH,0,,3
SHU UEMURA,0,,3
SOMTAMนัว,0,,3
SONG FA BAK KUT TEH,0,,4
SUIT SELECT,0,,4
SUMMERLOVE,0,,3
SWEET SENSATIONS,0,,4
TAKEO KIKUCHI,0,,4
TALON,0,,4
THE ALLEY,0,,4
TOCCO TOSCANO,0,,4
TOMMY JEANS,0,,3
TP TEA,0,,6
TWENTYSECOND,0,,3
UNGARO,0,,5
UP&UNDER,0,,4
USMILE,0,,3
