Tenant,MallCount
G SHOCK,4
THE BODY SHOP,4
HAIR D' CRAFT,4
NOO YOO,4
GUCCI,4
CURIOO KIDS,4
BEARHOUSE,4
ADIDAS ORIGINAL,4
MAKALIN CLINIC,4
LIVERPOOL,4
TISSOT,4
FOCUS SHOP,4
ERIC KAYSER,4
FOOD PATIO,4
KAREN,4
LENS & TIME,4
ADORE,4
SUBWAY,4
PRONTO,4
YOGURT LAND,4
KARMART,4
MEZZO COFFEE,4
YENLY YOURS,4
PIERRE CARDIN,4
BP WORLD,4
TTB BANK,4
KOFUKU,4
FERRAGAMO,4
SUSHI DEN,4
SUPERDRY,4
KOI THE,4
IT GO,4
LITTLE REDFOX,4
LABX,4
OPATRA,4
TOMS,4
OISHI EATERIUM,4
CHER CLINIC,4
QQ DESSERT,4
PAINT N PLAY,4
JIM THOMPSON,4
L'OCCITANE,4
YAKINIKU LIKE,4
SUPER RICH,4
CRUZY,4
KIDZOOONA,4
DICKIES,4
YAOWARAT KRUNGTHEP,4
X=ACT,4
JACOB,4
PAN CLINIC,4
TIMBERLAND,4
SEIKO,4
DAKS,4
KANEBO,3
DAPPER,3
MAMA BABY,3
ANNE KLEIN,3
LUMINOX,3
KOSE,3
OISHI BUFFET,3
MOSCHINO,3
CHESTER'S GRILL,3
B2S THINK SPACE,3
KARUN THAI TEA,3
JOOM ZAP HUT/BAR B Q,3
ELLE,3
ลาวญวน,3
AQUA COSMETICS,3
JOHN LANGFORD,3
BAIMIANG,3
MIYAZAKI,3
BOOMERANG,3
PET LOVERS CENTRE,3
ALBA,3
VICTORINOX,3
ASA SERVICE,3
COVERMARK,3
HOOPS STATION,3
QQ HEALTHY DESSERT,3
PAN KHAM HOM,3
JING JAI MARKET,3
LANEIGE,3
REVLON,3
NAUTICA,3
LUXURY,3
ICARE,3
JOURNAL,3
SHICHIDA,3
BOBBI BROWN,3
DOLCE GELATINO,3
LUCKY,3
CASIO,3
PROVINCIAL ELECTRICITY AUTHORITY,3
MX CAKES & BAKERY,3
MIKI MIKI STORE,3
LAND AND HOUSE BANK,3
GUSS DAMN GOOD,3
PANG SIAM,3
SPIN,3
REAL ME,3
KHAMOOJAKKAPAD,3
THREE,3
DAVIDOFF,3
HOMEBOY,3
LIVIA,3
FOSSIL,3
NARCISO RODRIGUEZ,3
DOLCE GABBANA,3
KPN MUSIC ACADEMY,3
BEVERLY HILLS POLO CLUB,3
MR.JOLLY YOGURT,3
LH BANK,3
C&D,3
ESTEE LAUDER,3
JACK RUSSEL,3
FUJI,3
WASH ME,3
TP TEA,3
LAURA MERCIER,3
LOOKCHINTHIP,3
