Tenant,Eigenvector
NIYOM JEANS,0.03837744206663675
NESPRESSO,0.038344736941116585
FOF,0.03810603153428745
MONTBLANC,0.037983068565797584
FIXIFOOT,0.037979437860887144
KATSUYA,0.03797274364720696
APEX,0.037893353660126416
EMBIX,0.03782639380139774
FONNEY,0.03780938974764467
DISNEY PRINCESS,0.03777678520556972
MAKOTO,0.03774191085223098
AIIZ,0.03765952963926973
RIP CURL,0.03754773124808439
JESSICA,0.03754758198805853
THE MARC JACOBS,0.037488407957100255
CUTE PRESS,0.03748082674237332
ESTIMATE,0.03737868318094338
SULWHASOO,0.037295606206648874
KHAKI BROS,0.037281535270181604
RALPH LAUREN,0.03722334969459522
BWELL,0.0371567405598892
FUKU MATCHA,0.037100792897916256
PANASONIC,0.03692483658261846
KIDS&TEENS,0.036919956077143025
NESTLE,0.03691995607714301
HUGO BOSS,0.03679619776447761
ZOJIRUSHI,0.036740486243423624
BEYBLADE,0.03668805621839913
BARBIE,0.036656594015905306
DISNEY BABIES,0.03665659401590529
MELISSA & DOUG,0.036656594015905285
GB,0.03659036389226283
UNDERGEAR,0.036546009111073446
MOTTA,0.03652717438295759
THREE,0.036480173495534
BVLGARI,0.036208694110702835
กรุงเทพประกันภัย,0.03619189353750269
DISNEY KIDDO,0.03611247942006569
DAPPER,0.03602400482569042
KIEHLS,0.03572663993047675
SOURI,0.03568407461282752
DORTMUEND,0.03565688202357151
VANS,0.03560355607231947
FULICO,0.03554991901766026
UIH,0.035520588049310735
MERRIES,0.03546477056215505
EASY PIECES,0.035462321278402834
PRIMA DIAMOND,0.03545960527550966
ALBEDO,0.035342415165037507
KARDINA ANDRIA,0.03533682178689119
VERSACE,0.03528201972146226
KS KIDS,0.03527877977398435
BABY STONE,0.03524860459047344
YSL,0.03523698678693578
JOIE,0.035235503281862125
ALUMNUS WOMEN,0.03521423062605208
MAJORETE,0.035165283374047895
SAMSONITE RED,0.03497838896833861
DR.PONG,0.03495435216013352
NATURE,0.034901249226395155
SEIKO CLOCK,0.03483952918047259
EAZY CLEAN LOCAL,0.03475219103963431
DUNLOP,0.034675361243285664
SEALY,0.03449691028034657
ISSEY MIYAKE,0.03442057066013086
ROMRAWIN CLINIC,0.034367418708400974
NARS,0.034334834865599406
MUJI,0.034254154026554934
EYE CLASS,0.03424406848654356
I STUDIO,0.034218497008535666
BATH&BODY WORKS,0.03412056000166352
COCO ICHIBANYA,0.03407901854367607
ORIENT,0.033990738606149665
SUSHIRO,0.03398672265926354
NARCISO RODRIGUEZ,0.033901775498542154
MATTEL,0.03371085007980567
Future Living,0.03366045816331951
CRUISE BY CHRISTIANA,0.033660234496264936
CLAUDIA KLEID BLACK&WHITE,0.03335804184859924
MARVEL HASBRO KIDDO,0.03331092509770639
DICKIE TOYS,0.033239404634473106
OLINO CREPE & TEA,0.03318806830176721
NA DREAMS,0.033158097058980644
MARCO POLO,0.03311187531470168
SQUISHMALLOWS,0.033088511348214285
ASICS,0.03300477648967943
BRAUN,0.03299786022651293
PLARAIL,0.032903167720082546
ROOKIE,0.032830945964119444
REVLON,0.03266616659391514
PACIFIC UNION,0.03266302889924368
RAVIPA,0.03262978478360541
DIOR,0.032621621573147214
NERF HASBRO KIDDO,0.03254901086585488
BRIGHT STARTS,0.032487205352967535
BP WORLD,0.03240800480906929
SO SMOOCHIE,0.03234836908466633
HELLO WD,0.032228182449124024
CLAUDIA KLEID,0.032216254550487516
HARA,0.032158918569923874
MINIMEX,0.032123888074090584
WHITE STORY,0.03210526441310393
KAMIMURA,0.0320783931461605
BANGKOK GOLDS,0.03206700987326543
ROYAL IVY REGATTA,0.0320376572018093
MAJOR CINEPLEX,0.03198439573476778
MASARU,0.03185930431035709
ON THE TABLE,0.03177228163449122
ZWILLING,0.03176803962714944
COACH,0.03173881107492744
CHANEL,0.031689824320412376
SISLEY,0.031615100276677764
YAMAZAKI,0.03137723009318355
MO-MO-PARADISE,0.03135442961169088
OFFICE MATE,0.03133425943251091
SHEER BLISS,0.031294421156111286
JEWELLISTA,0.03121258834755776
ROVING FOX,0.031063383950489163
DTAC HALL,0.031051386704816025
GENTLEWOMAN,0.031012978427793842
MUUNIQUE,0.03084976977302656
BREADTALK,0.03084728539902402
GIORGIO ARMANI,0.030830143047203138
PROMTHONG,0.030589650332738937
BOUTON,0.030382423177289408
JEAN PAUL GAULTIER,0.03036058278402938
GOVERNMENT HOUSING BANK,0.030322618451823893
DELSEY,0.030311910741026536
POLI-CHEM,0.03027783530278611
LANEIGE,0.030254856822723785
RAINFLOWER,0.03021153973011635
LONGINES,0.030126947174680854
H&M,0.030066405067102283
ALUMNUS,0.030065342384113222
S&P,0.030059070996198794
AMOR,0.029992184999031012
CLOVER,0.029908860186317276
MARKS & SPENCER,0.029860305896431794
THE NEXT,0.029807902295349714
KENWOOD SMALL,0.029807868552534256
LAZBOY,0.029626483937617673
LUCARIS,0.029607649615273145
DISNEY,0.029576962655413826
DREAME,0.029544666664158073
OPTIC SQUARE,0.029505442594146405
BABY EINSTEIN,0.02948343399103836
CHESTER'S,0.029458886815001157
MR.D.I.Y.,0.02944096806816105
SKIPHOP,0.029435334020532306
GQ SOCKS,0.02911999369646486
SKECHERS FOAMIES,0.029080540132020202
LOOKER,0.029073745007783477
COOKEEZ MAKERY HASBRO KIDDO,0.028763313952636906
MARVEL VISION,0.02874959366491808
LUIGI BATANI,0.028658425952573806
BOON TONG KEE,0.028634613016477045
DOLCE GABBANA,0.028609202626292535
ห้างทองหวังโต๊ะกังเยาวราช,0.028603676438325662
SUNGLASS HUT,0.028544512564130632
TAKE TOYS,0.028505727408322242
GEDA BABY,0.028505354002935503
IMOO,0.028494432852780506
UMAY PLUS,0.028372733360171067
POMELO,0.028288022211483087
CARA,0.028268080421303073
LIYA,0.02825646350446837
BABY FANTASY,0.028234998895295557
VIDAL SASSOON,0.02815532438277258
SUPER RICH THAILAND,0.027990360656161416
TISSOT,0.027973908566319636
PLAYDOH HASBRO KIDDO,0.02793981563935147
CUT & CURL,0.027916474738148817
เซ่งเฮง,0.027884474608887096
HANKY HOUSE,0.027862125195832876
GEKO,0.02764116636496491
SE-ED BOOK CENTER,0.027491900645726115
กรุงศรี เฟิร์สช้อยส์,0.02745475196814389
THAI CREDIT BANK,0.027423208425722347
PULCINELLA,0.027274981619397117
JACK RUSSEL,0.02725307085809718
SAMSUNG MOBILE,0.02723325966967025
FOOTWEAR BY DAPPER,0.027232963350403577
SHARP,0.027135427155851783
LOJEL,0.027127776241142484
QUIKSILVER,0.027022694753431803
MOLTO,0.026942324753889014
OVO,0.026849988180026797
ก๋วยเตี๋ยวเรือพระนคร,0.02681816696364883
MARSHALL,0.026659270276722224
TAYWIN ORIGINAL STYLE,0.026643414698210074
NEW ERA,0.02661268790129882
PATRA,0.026553204478137315
เมืองไทยประกันชีวิต,0.02652920536576551
PORNKASEM CLINIC,0.026510025545022034
CITIZEN,0.026461247585957158
JELLYCAT,0.026445948587384763
URANUS CLINIC,0.026422422224815206
KINDEE,0.02637934849217504
THE NORTH FACE,0.026369984637770537
ROXY,0.026241162791190653
KEEP,0.02619059522976359
NUNA,0.026156379430502738
IBILI,0.026126971439791917
LUIGINA,0.02605684553229865
MANCHESTER,0.02604452264252289
PAY BY P.A.PHONE,0.026036598774970703
FUN CITY,0.025996887157383672
ONE TO TWO COFFEE,0.02595977098374533
