mall_code,mall_name,store_name,group,brand,categories,floors,external_id,location_id
CBR,Central Chonburi,EMBIX | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,bfa8a2f0-21fa-5c54-8ccf-51496c650eae,el_688ce5c5180e650001fea40b
CBR,Central Chonburi,JACOB | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,740e1830-cd38-5c75-a405-a1ced9b8cd88,el_688ce5c5180e650001fea40d
CBR,Central Chonburi,MIDO | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,8e8884f4-8797-50a0-89ff-b400e425e97e,el_688ce5c5180e650001fea410
CBR,Central Chonburi,HEAVY | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,826dff5a-6142-5f26-988d-17dece8459fc,el_688ce5c5180e650001fea411
CBR,Central Chonburi,PHILIPS | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,1757335a-862f-5c11-b7d7-1ca4af394d78,el_688ce5c5180e650001fea412
CBR,Central Chonburi,PRIMA DIAMOND | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,34c9ee7b-b2df-502c-9365-55ba6913e89a,el_688ce5c5180e650001fea413
CBR,Central Chonburi,GSP SPORT | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,662e3143-f5cd-5c83-9c2a-8ff5d5b127c8,el_688ce5c5180e650001fea414
CBR,Central Chonburi,NIKE | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,5bc0dd7d-58f2-5e26-844c-145b3cb75a1d,el_688ce5c5180e650001fea415
CBR,Central Chonburi,BEVERLY HILLS POLO CLUB | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,7297ee2d-d5b6-550d-a8e6-c95a7f4263fa,el_688ce5c5180e650001fea417
CBR,Central Chonburi,ESTEE LAUDER | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,ccb5ad63-bc6c-503d-9b2d-0cdda3084d9c,el_688ce5c5180e650001fea418
CBR,Central Chonburi,DEVY | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,7420f5ea-5525-5c4d-9b7b-1016a02da06f,el_688ce5c5180e650001fea41a
CBR,Central Chonburi,GURU | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,6f0749d6-7ed7-5c7e-b4de-b80d6905a212,el_688ce5c5180e650001fea41c
CBR,Central Chonburi,SCHOLL | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,bb78ec51-2d3d-56ec-81bb-68eee99bd9f8,el_688ce5c5180e650001fea41d
CBR,Central Chonburi,THE MARC JACOBS | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,0f7e3b60-1476-54ea-a3d7-85511183ae75,el_688ce5c5180e650001fea41f
CBR,Central Chonburi,COOKEEZ MAKERY HASBRO KIDDO | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,65760380-8d5b-57cd-927a-5221c597e62e,el_688ce5c5180e650001fea422
CBR,Central Chonburi,CHRISTIANA | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,82c9cfa5-b453-58f4-8ef2-ec2e08d0f73e,el_688ce5c5180e650001fea425
CBR,Central Chonburi,BLOKEES | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,a7ba9b3c-2369-5802-8173-f4b8b9d8af71,el_688ce5c5180e650001fea426
CBR,Central Chonburi,HOW | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,874ead92-2b09-5e23-bba3-f3b1b126f714,el_688ce5c5180e650001fea427
CBR,Central Chonburi,ELLE HOMME | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,69a45d74-40ea-5038-9db1-51f8f551b1ce,el_688ce5c5180e650001fea428
CBR,Central Chonburi,PLAYBOY | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,140ad93f-a940-5270-9426-9195a74fd0ab,el_688ce5c5180e650001fea429
CBR,Central Chonburi,GQ SOCKS | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,39abf54b-a335-5b88-97c3-1fc88a1bf6c0,el_688ce5c5180e650001fea42b
CBR,Central Chonburi,GIORDANO | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,78722d74-4085-56f7-8d7e-b99d744262ba,el_688ce5c5180e650001fea42c
CBR,Central Chonburi,CHERILON | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,3c7a1776-32ae-5e77-99b4-d76ae8d87a96,el_688ce5c5180e650001fea431
CBR,Central Chonburi,ARROW | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,75ef331a-06ad-5ca2-8a94-bbfb1eed8ad4,el_688ce5c5180e650001fea432
CBR,Central Chonburi,ADIDAS KIDS | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,17f57dd3-0b27-5e57-9ab9-904257377d9b,el_688ce5c5180e650001fea434
CBR,Central Chonburi,CHELSEE | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,dc9eff1d-4009-59ae-b223-0ffbbac34062,el_688ce5c5180e650001fea435
CBR,Central Chonburi,LOLITA | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,d407456a-df9a-5025-8869-7d4d9dd1e465,el_688ce5c5180e650001fea436
CBR,Central Chonburi,NERF HASBRO KIDDO | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,822e45c8-d1c9-5b5e-b493-1368509e947b,el_688ce5c5180e650001fea438
CBR,Central Chonburi,TEFAL | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,ccd6644c-3648-5115-902d-b4d5181e04f0,el_688ce5c5180e650001fea439
CBR,Central Chonburi,KEEP | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,dda222f1-ed6e-5a5a-95da-5f3ca58b1641,el_688ce5c5180e650001fea43a
CBR,Central Chonburi,G2000 | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,77b0c96b-b321-569b-a954-b4c27d99210c,el_688ce5c5180e650001fea43b
CBR,Central Chonburi,BEBEPLAY | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,54c93aff-000d-528c-8e00-0cdca149650f,el_688ce5c5180e650001fea43c
CBR,Central Chonburi,LADY PLUS | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,3973b0bc-cfce-5494-a749-b664eda0a304,el_688ce5c5180e650001fea43d
CBR,Central Chonburi,Z KOREA | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,c8ac0a61-7f39-54d6-9724-f72af970cdf8,el_688ce5c5180e650001fea43f
CBR,Central Chonburi,LESASHA | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,0337df0c-5494-5f7e-9422-4a854895c17d,el_688ce5c5180e650001fea440
CBR,Central Chonburi,BSC COSMETOLOGY | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,2cc25114-9aeb-5fe0-83ab-67d6bc6cd4c6,el_688ce5c5180e650001fea441
CBR,Central Chonburi,STJAMES | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,2bb10141-13b9-5fd5-849b-2ced517499bf,el_688ce5c5180e650001fea442
CBR,Central Chonburi,KIPLING | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,49d6a90b-bbbc-5787-bf2d-d8d37549450b,el_688ce5c5180e650001fea444
CBR,Central Chonburi,PARK TOYS | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,acc8a579-4938-56dd-9bfd-42960e465e17,el_688ce5c5180e650001fea445
CBR,Central Chonburi,OK BABY | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,084dda4a-d994-5256-8ab7-62a4bb65b5c0,el_688ce5c5180e650001fea446
CBR,Central Chonburi,SCHOLL | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,d6067a6a-7bda-5fb7-b927-9d0c51772ca1,el_688ce5c5180e650001fea447
CBR,Central Chonburi,CALVIN KLEIN | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,b56a6e81-5a71-56cf-ab03-f31b87fdfb02,el_688ce5c5180e650001fea449
CBR,Central Chonburi,TEFAL | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,cb7c5b20-4914-5d18-ae1c-6166a4ea37ec,el_688ce5c5180e650001fea44b
CBR,Central Chonburi,MEYER | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,dc5aa0e2-f2ca-57e3-934a-8384ac8ebc50,el_688ce5c5180e650001fea44c
CBR,Central Chonburi,TOSHIBA | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,55343edc-86cd-5d55-91b1-cf2f30fb2880,el_688ce5c5180e650001fea44e
CBR,Central Chonburi,JOHN LANGFORD | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,2ab1dc80-256d-54bb-b8cc-991cc0b19d84,el_688ce5c5180e650001fea44f
CBR,Central Chonburi,SAZA | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,b9d2206b-2299-5909-92ff-b8d1934090d7,el_688ce5c5180e650001fea452
CBR,Central Chonburi,FREEWOOD | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,16b840d7-0928-531c-8b34-e37219f45d1f,el_688ce5c5180e650001fea454
CBR,Central Chonburi,PAUL MARC | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,dc6c6309-cf8b-55a2-b9b3-0e295119b19a,el_688ce5c5180e650001fea455
CBR,Central Chonburi,CAGGIONI | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,ce7ce3f8-585a-5b62-a49f-4743ac34b91e,el_688ce5c5180e650001fea457
CBR,Central Chonburi,MC JEANS | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,054d5985-522f-554c-9b85-7f0bec672cac,el_688ce5c5180e650001fea458
CBR,Central Chonburi,SUPER TOYS | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,c5127c8c-24d7-5237-99fa-71dd351e61d5,el_688ce5c5180e650001fea459
CBR,Central Chonburi,LUMINOX | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,52137baa-77d8-5a82-be96-f2cb04498cca,el_688ce5c5180e650001fea45a
CBR,Central Chonburi,MAC | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,a310192d-7789-52ca-9075-d090b7ad77cf,el_688ce5c5180e650001fea45c
CBR,Central Chonburi,CUIZIMATE | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,a67cbe6c-75ad-5533-99f4-16c95a2bae5d,el_688ce5c5180e650001fea45d
CBR,Central Chonburi,ABC DESIGN | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,be532447-5c5c-5036-9468-9e842b11d783,el_688ce5c5180e650001fea45e
CBR,Central Chonburi,DREAME | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,5ccab77e-e2c6-596f-a59f-089b41bf22f6,el_688ce5c5180e650001fea45f
CBR,Central Chonburi,KOMONOYA | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,0f20c148-c82f-54fd-a140-26d3606e7ac9,el_688ce5c5180e650001fea460
CBR,Central Chonburi,DAVIDOFF | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,5143e804-ae21-51e3-86b3-3247d2da5cb6,el_688ce5c5180e650001fea461
CBR,Central Chonburi,G2000 | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,87a52ef6-94c0-5e91-a885-f75a9992b975,el_688ce5c5180e650001fea462
CBR,Central Chonburi,GUESS | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,a0512e66-0533-5e23-990b-19d5082fcdc0,el_688ce5c5180e650001fea463
CBR,Central Chonburi,BOUTON | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,9e83319c-418c-5aed-a8f1-a4adbb03faec,el_688ce5c5180e650001fea464
CBR,Central Chonburi,GIFT LAND | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,27cec7ba-ed1b-5969-ab2d-bd0018a231af,el_688ce5c5180e650001fea465
CBR,Central Chonburi,LITTLE BABY | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,556a544b-b085-509e-a723-1f06719b3499,el_688ce5c5180e650001fea466
CBR,Central Chonburi,RAINFLOWER | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,bf1a89d0-c689-5b11-adf1-9afac2dc57bd,el_688ce5c5180e650001fea467
CBR,Central Chonburi,MMADICO | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,7cedc08d-5172-51b9-81e5-90bb87f8a260,el_688ce5c5180e650001fea468
CBR,Central Chonburi,BURBERRY | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,c92565fc-7ccd-5347-9ff8-22c1b765254b,el_688ce5c5180e650001fea469
CBR,Central Chonburi,CENTRAL HOME LOCAL | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,b3808e7c-7875-5f04-b77d-8b587001eb80,el_688ce5c5180e650001fea46b
CBR,Central Chonburi,HARA | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,7de6643b-20f3-59e5-9aae-dd1c0bceb974,el_688ce5c5180e650001fea46d
CBR,Central Chonburi,HENNEY BEAR | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,f363329b-a75a-598d-b978-b2038ab0c622,el_688ce5c5180e650001fea46e
CBR,Central Chonburi,TULIP | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,9650eea8-73cd-560c-97da-15dae8e3730d,el_688ce5c5180e650001fea470
CBR,Central Chonburi,BASEBALL | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,f21bb6da-442b-594e-9bf7-a0891db4fd09,el_688ce5c5180e650001fea471
CBR,Central Chonburi,KOSE | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,d5e76684-1602-5de4-868f-7d41b7f81dac,el_688ce5c5180e650001fea472
CBR,Central Chonburi,GUESS | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,38d7f715-015a-5321-9480-4dd66c9df9b4,el_688ce5c5180e650001fea473
