Tenant,CompositeScore,GNN_Prediction,Category
GLASSAHOLIC,0.054898623,0.059782222,Fashion & Apparel
AQUAFLASK,0.07350322,0.0594521,Fashion & Apparel
MONGKON GOLD JEWELRY,0.065408364,0.059384227,Fashion & Apparel
CHILLICHIC,0.046001848,0.059282094,Fashion & Apparel
ZHOU LIU FU,0.08973819,0.058459528,Fashion & Apparel
OLIVIA,0.03889464,0.05732987,Fashion & Apparel
BLESSING,0.034895737,0.056308117,Fashion & Apparel
embroidererbangkok,0.019907543,0.056238383,Fashion & Apparel
YAOWARAJ KRUNGTHEP,0.002408889,0.055923067,Fashion & Apparel
AVOCADO,0.067935355,0.055723313,Fashion & Apparel
WARA,0.03988293,0.05443047,Fashion & Apparel
BAGNIFIQUE,0.0758632,0.054231003,Fashion & Apparel
SCOTT JUMP,0.06412549,0.052417047,Fashion & Apparel
VACRAZY,0.05925972,0.051507805,Fashion & Apparel
KARIS,0.043527007,0.051297855,Fashion & Apparel
NAMON,0.03422435,0.050678097,Fashion & Apparel
CHJ JEWELLERY,0.06841824,0.04915271,Fashion & Apparel
ROSE JEWELRY STUDIO,0.028767614,0.048851088,Fashion & Apparel
FIFTY NINE,0.04859287,0.04770037,Fashion & Apparel
HIGHSCHOOL SPORT,0.065734096,0.04689126,Fashion & Apparel
MILK KIDS' SALON&NAILS,0.05293793,0.046839885,Fashion & Apparel
STARDUST Jewelry,0.011243266,0.04652608,Fashion & Apparel
U DIAMOND,0.027370019,0.045152955,Fashion & Apparel
ME PHENOMENON,0.047211286,0.04441882,Fashion & Apparel
LA LA ROSE,0.049370773,0.042166844,Fashion & Apparel
CDS,0.04716916,0.041329287,Fashion & Apparel
PREM BAG AND CLOTHES,0.031980034,0.040669113,Fashion & Apparel
MANGO SIX CLOTHING,0.020019738,0.03982975,Fashion & Apparel
WARA JEANS,0.041908752,0.038273644,Fashion & Apparel
TOP SHOES,0.04768584,0.03739418,Fashion & Apparel
MINX,0.03355042,0.036723025,Fashion & Apparel
THONGSUAY,0.025455812,0.03598424,Fashion & Apparel
