Tenant,CompositeScore,GNN_Prediction,Category
MAJORETE,0.31307852,0.31261358,Robinson Department Store
DORTMUEND,0.25471327,0.30841646,Robinson Department Store
BEVERLY HILLS POLO CLUB,0.3113703,0.30530533,Robinson Department Store
BRAUN,0.27139476,0.30424652,Robinson Department Store
FOF,0.34629077,0.30237478,Robinson Department Store
NIYOM JEANS,0.2682657,0.30159888,Robinson Department Store
DAPPER,0.25051707,0.30149528,Robinson Department Store
MARCO POLO,0.34640086,0.30014282,Robinson Department Store
CRUISE BY CHRISTIANA,0.2551987,0.29778388,Robinson Department Store
PRIMA DIAMOND,0.2482343,0.2970443,Robinson Department Store
SEALY,0.24415818,0.29442284,Robinson Department Store
JESSICA,0.27107352,0.29404956,Robinson Department Store
ORIENT,0.23113002,0.29309306,Robinson Department Store
ROOKIE,0.24119623,0.28934875,Robinson Department Store
HELLO WD,0.2557852,0.28722724,Robinson Department Store
DUNLOP,0.25062042,0.2797951,Robinson Department Store
NA DREAMS,0.21954526,0.2772459,Robinson Department Store
MARVEL HASBRO KIDDO,0.23125248,0.2769694,Robinson Department Store
MASARU,0.22519873,0.27558157,Robinson Department Store
JEAN PAUL GAULTIER,0.24422182,0.27106896,Robinson Department Store
NERF HASBRO KIDDO,0.229511,0.26933444,Robinson Department Store
IMOO,0.22258426,0.26554292,Robinson Department Store
LANEIGE,0.24374884,0.2634679,Robinson Department Store
PACIFIC UNION,0.31880602,0.26266685,Robinson Department Store
LAZBOY,0.23028241,0.26100555,Robinson Department Store
DIOR,0.24970564,0.26025766,Robinson Department Store
MUUNIQUE,0.29105058,0.25861847,Robinson Department Store
KENWOOD SMALL,0.26607773,0.2581937,Robinson Department Store
REVLON,0.26398844,0.25570813,Robinson Department Store
SKECHERS FOAMIES,0.24948478,0.25543055,Robinson Department Store
DELSEY,0.25008973,0.25512618,Robinson Department Store
BOUTON,0.26348585,0.25379515,Robinson Department Store
GQ SOCKS,0.25195798,0.24958757,Robinson Department Store
HARA,0.23855498,0.24884798,Robinson Department Store
MANCHESTER,0.3211345,0.24583173,Robinson Department Store
GEDA BABY,0.2209442,0.24231613,Robinson Department Store
FOOTWEAR BY DAPPER,0.18919685,0.24066699,Robinson Department Store
BOSSINI,0.15519015,0.24007022,Robinson Department Store
RAINFLOWER,0.26174834,0.23982085,Robinson Department Store
COOKEEZ MAKERY HASBRO KIDDO,0.20635927,0.23772243,Robinson Department Store
CITIZEN,0.1875713,0.23128408,Robinson Department Store
MARVEL VISION,0.30628616,0.223629,Robinson Department Store
ROVING FOX,0.24924557,0.2209684,Robinson Department Store
BAOJI,0.2617633,0.21882346,Robinson Department Store
CARA,0.24048424,0.21395771,Robinson Department Store
OVO,0.21581599,0.21072468,Robinson Department Store
CHRISTIANA,0.17595059,0.21029712,Robinson Department Store
SHARP,0.23380974,0.2091001,Robinson Department Store
LEVIS KIDS,0.16964747,0.20270044,Robinson Department Store
KEEP,0.20296192,0.2020313,Robinson Department Store
BABYLISS,0.1662513,0.19965,Robinson Department Store
PARENT,0.23139885,0.19889668,Robinson Department Store
ELLE HOMME,0.16274238,0.19765842,Robinson Department Store
GRANNY BEN,0.17238529,0.19397727,Robinson Department Store
LUMINOX,0.15851851,0.1935826,Robinson Department Store
PHATMOJO,0.16984208,0.19084522,Robinson Department Store
