Tenant,CompositeScore,GNN_Prediction,Category
YUEN KEE,0.015669424,0.02936494,Food & Beverage
SUKISHI KOREAN CHARCOAL GRILL,0.039425284,0.028432153,Food & Beverage
MIRUKU PAN-YA,0.008268131,0.027611889,Food & Beverage
เบิร์นบุษบา,0.008268131,0.027611889,Food & Beverage
KYO ROLL EN - CAFE' & MEAL,0.011298739,0.02670031,Food & Beverage
HASUL,0.011298739,0.02670031,Food & Beverage
YENSAWAN,0.024929484,0.02622601,Food & Beverage
Bowcake,0.020408843,0.025879212,Food & Beverage
CANTEEN 3,0.024038738,0.02418381,Food & Beverage
คาเฟ่ขนม BY GOT,0.017701227,0.023869738,Food & Beverage
TAN TAN,0.005408646,0.022033084,Food & Beverage
Coco Walk,0.021885883,0.021574095,Food & Beverage
HONAJI RAMEN,0.011629825,0.019520644,Food & Beverage
BELUGA,0.009082027,0.019485515,Food & Beverage
ไร่กาแฟขี้ชะมด BLUEGOLD,0.018484564,0.019339085,Food & Beverage
GINZY HEALTHYFOODPRODUCT,0.020265944,0.018920638,Food & Beverage
MYEONGRYUN JINSA GALBI,0.013811048,0.017654538,Food & Beverage
SUSHI EXPRESS,0.017092792,0.017638508,Food & Beverage
OISHI BIZTORO/โออิชิ บิซโทโระ,0.012675571,0.017183747,Food & Beverage
อันเกิม อันก๋า,0.007057458,0.016573556,Food & Beverage
YOGURT LAND,0.007057458,0.016573556,Food & Beverage
KAMU SPECIALTY,0.021561675,0.016219672,Food & Beverage
SAMEROS GALATO CAFE,0.021337027,0.014712982,Food & Beverage
KA-NOM,0.009298144,0.014529612,Food & Beverage
KUMO LAB,0.011852204,0.014360901,Food & Beverage
SAEMAEUL EXPRESS,0.015906386,0.014350932,Food & Beverage
OMAKASE DON BY TEPPEN,0.0025957776,0.013755657,Food & Beverage
baan cake by nunan,0.035083663,0.013625026,Food & Beverage
FOOD PATIO,0.009789161,0.013335057,Food & Beverage
NOBICHA,0.0223164,0.013142094,Food & Beverage
PENGUIN KNIGHT,0.008209674,0.013107866,Food & Beverage
GONG CHA,0.007867103,0.012313541,Food & Beverage
SANTAFE STEAK HOUSE,0.0060389293,0.011632729,Food & Beverage
MINKKI ICE CREAM  TEA  BINGSU,0.009028176,0.011517242,Food & Beverage
QQ HEALTHY DESSERT,0.007651635,0.010238234,Food & Beverage
BOTTOMLESS,0.0018347276,0.0094328,Food & Beverage
MOKARU CHOUX,0.0019749994,0.009142358,Food & Beverage
ผลไม้,0.004480431,0.008788019,Food & Beverage
FRESH ME,0.0035111788,0.008725502,Food & Beverage
SNOOWING,0.0019303291,0.007970311,Food & Beverage
ZHANG LIANG,0.004493569,0.0077402294,Food & Beverage
หมูปิ้งนมสด,0.0045740535,0.0067516305,Food & Beverage
GINGER FARM KITCHEN,0.005470737,0.006730661,Food & Beverage
SOUTHERN COFFEE,0.0010993378,0.006435171,Food & Beverage
SUNRISE TACOS,0.00460724,0.0063272826,Food & Beverage
O-li-no,0.0006519857,0.0051968247,Food & Beverage
%ARABICA,0.0013338489,0.00506714,Food & Beverage
SUSHI HIRO,0.004644676,0.004448492,Food & Beverage
BEACHE ATS,0.0021829095,0.00439287,Food & Beverage
