Tenant,CompositeScore,GNN_Prediction,Category
MEDELA,0.12662402,0.15308188,Central Department Store
MCM,0.15315366,0.15279175,Central Department Store
KINTO,0.00071011874,0.15234599,Central Department Store
HOLSTER,0.10620863,0.1519009,Central Department Store
EMPORIO ARMANI,0.13746545,0.1498638,Central Department Store
JIMMY CHOO,0.16321464,0.14979906,Central Department Store
TEMPUR PEDIC,0.13645412,0.1493651,Central Department Store
GRISON,0.12624596,0.14928287,Central Department Store
MRBIG,0.16261342,0.1467677,Central Department Store
SARAMANDA,0.10006167,0.14557974,Central Department Store
LABOTTE,0.10302695,0.14457694,Central Department Store
LILY ROSE,0.14767939,0.14178827,Central Department Store
FOFO,0.11906541,0.14026996,Central Department Store
ANGELINO RUFOLO,0.09356923,0.13991877,Central Department Store
KIDS STEP,0.1005386,0.13935883,Central Department Store
AKALIKO,0.11806844,0.13859777,Central Department Store
CARLO BASANO,0.11781652,0.13673499,Central Department Store
AVEDA,0.11781652,0.13673499,Central Department Store
TAACTIVE,0.1184882,0.13673499,Central Department Store
HAMILTON,0.11781652,0.13673499,Central Department Store
PLAYGRO,0.11781652,0.13673499,Central Department Store
OSIM,0.09712255,0.13408709,Central Department Store
SERVICE,0.09770276,0.13238138,Central Department Store
LAMPTAN,0.2974949,0.13212869,Central Department Store
TAKARA TOMY,0.10928115,0.13178444,Central Department Store
LE CREUSET,0.092173256,0.13117975,Central Department Store
TOM FORD BEAUTY,0.092173256,0.13117975,Central Department Store
BABI MILD,0.102235384,0.13106546,Central Department Store
GOLD MASTER ELECTRO,0.12150444,0.12973237,Central Department Store
THOMAS WD,0.10707107,0.12929854,Central Department Store
HARUKI,0.1038791,0.1290591,Central Department Store
GREENLIGHT,0.082866676,0.12898937,Central Department Store
BENEFIT,0.082866676,0.12898937,Central Department Store
ERB,0.10430891,0.12667719,Central Department Store
VILLAINS SF,0.09280023,0.12573555,Central Department Store
TOEZONE,0.09352511,0.12442669,Central Department Store
MILLE,0.10329997,0.12339589,Central Department Store
MOSCHINO,0.106113225,0.12329732,Central Department Store
KEEN,0.083076596,0.122685075,Central Department Store
KEDS,0.08079731,0.1224069,Central Department Store
CORDIAL,0.08757429,0.12187585,Central Department Store
ROYAL YACHT CLUB,0.1286352,0.12157096,Central Department Store
DNO BLOCKS,0.09965361,0.12121789,Central Department Store
HOURGLASS,0.07938174,0.12073084,Central Department Store
POLO RALPH LAUREN,0.15108818,0.12057631,Central Department Store
ROYAL PORCELAIN,0.085582614,0.120394476,Central Department Store
KEEPPLEY,0.085582614,0.120394476,Central Department Store
MILAROSE,0.1250499,0.11989229,Central Department Store
SPORT FLEX BIBI,0.1250499,0.119892284,Central Department Store
THULE,0.114463754,0.11872412,Central Department Store
NINTENDO,0.09110117,0.11851765,Central Department Store
KIKO MILANO,0.0724525,0.1184348,Central Department Store
DANDY COSMO,0.06637653,0.11797447,Central Department Store
TAKEO KIKUCHI,0.06637653,0.11797447,Central Department Store
NATUR,0.09472957,0.11734505,Central Department Store
ROYAL BONE CHINA,0.080396056,0.115988106,Central Department Store
VOLCOM,0.085617356,0.1155974,Central Department Store
TIME MORE,0.08513811,0.11545217,Central Department Store
SKINY,0.130054,0.1153157,Central Department Store
BATMAN AND DC,0.130054,0.1153157,Central Department Store
BALMUDA,0.06697075,0.11518487,Central Department Store
MARCO SPADE,0.10766281,0.11431866,Central Department Store
HER HYNESS,0.086578175,0.114252225,Central Department Store
PRETTY G,0.10622047,0.11414047,Central Department Store
NITID,0.10622047,0.11414047,Central Department Store
SAFARI,0.10622047,0.11414047,Central Department Store
ROBOROCK,0.061841305,0.11405265,Central Department Store
PEACHY,0.083498195,0.1127993,Central Department Store
ROBOCAR POLI,0.09327811,0.11244559,Central Department Store
ESSE,0.10387844,0.1121656,Central Department Store
ROAV,0.05989722,0.111723065,Central Department Store
TOMS,0.05989722,0.111723065,Central Department Store
NATIVE,0.05989722,0.111723065,Central Department Store
CMP,0.07642646,0.11086203,Central Department Store
SESAME STREET,0.12370642,0.10981867,Central Department Store
DC,0.0712034,0.10967448,Central Department Store
FIFTH AVENUE,0.06705904,0.10940583,Central Department Store
TINY LOVE,0.09353629,0.10910412,Central Department Store
CREATE ION,0.15776609,0.10862262,Central Department Store
LUXE SWIMSUIT,0.10467742,0.10822303,Central Department Store
OASIS,0.074825756,0.10691927,Central Department Store
URBANSNAPS,0.060689736,0.10667468,Central Department Store
METICULOUS,0.07998614,0.10662999,Central Department Store
PIUMINO,0.078197,0.10628742,Central Department Store
MAMAS PAPAS,0.05907739,0.10534096,Central Department Store
LEVOIT,0.063322596,0.104484506,Central Department Store
MARSHMELLOW,0.063322596,0.104484506,Central Department Store
BRATPACK,0.063322596,0.1044845,Central Department Store
BE ME,0.083285056,0.10435634,Central Department Store
NEXT PHASE,0.05713431,0.10421823,Central Department Store
GREEN PAN,0.07288242,0.104148306,Central Department Store
BEBE AMICO,0.0686875,0.104118526,Central Department Store
JENIM,0.071663134,0.103859276,Central Department Store
MAURICE LACROIX,0.071663134,0.10385927,Central Department Store
PURLI,0.07206614,0.10385927,Central Department Store
TOCCO TOSCANO,0.071663134,0.10385927,Central Department Store
MRMEN LITTLE MISS,0.071663134,0.10385927,Central Department Store
TRANSFORMERS HASBRO KIDDO,0.07676202,0.10315597,Central Department Store
HAFELE,0.054135203,0.101271294,Central Department Store
BAA BAA SHEEPZ,0.06286376,0.1007761,Central Department Store
MICKEY MOUSE,0.08641909,0.10017999,Central Department Store
MORIGIRL SEASON,0.10331239,0.09984819,Central Department Store
LE PETIT PUMM,0.081893936,0.0985878,Central Department Store
HEGEN,0.07430915,0.0985647,Central Department Store
LANVIN,0.13783263,0.09824331,Central Department Store
DANIEL HECHTER,0.0967706,0.09778878,Central Department Store
MEX,0.10097653,0.097430825,Central Department Store
MASERATI,0.055839553,0.096785486,Central Department Store
CORELLE,0.07207206,0.09596396,Central Department Store
BIALETTI VOGUE,0.06471413,0.09479827,Central Department Store
SHAPER,0.06471413,0.09479827,Central Department Store
FISHER PRICE,0.064982794,0.09479827,Central Department Store
CENTRAL LOVE THE EARTH,0.06471413,0.09479827,Central Department Store
SOFT,0.06471413,0.09479827,Central Department Store
DART ZONE,0.06658277,0.094629176,Central Department Store
SUPER SOSO,0.07704077,0.094441354,Central Department Store
